id,title,datetaken,dateupload,description,license,ownername,latitude,longitude,url,photopage,tags
5008809888,"Workers from the New York City Department of Parks plant a huge bed of annuals at 80th Street and Central Park West near the Museum of Natural History.  they are putting in salvia, dusty miller plants, and begonias, 06/1973.",1973-06-01 00:00:00,1284998210,"<strong>Original Caption:</strong> Workers from the New York City Department of Parks plant a huge bed of annuals at 80th Street and Central Park West near the Museum of Natural History.  they are putting in salvia, dusty miller plants, and begonias, 06/1973.  <strong>U.S. National Archives’ Local Identifier:</strong> 412-DA-9253  <strong>Photographer:</strong> Szasz, Suzanne, 1915-1997  <strong>Subjects:</strong> New York (New York state, United States, North and Central America) inhabited place Environmental Protection Agency Project DOCUMERICA   <strong>From:</strong>: Series DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern, compiled 1972 - 1977  <strong>Created By:</strong>: Environmental Protection Agency. (12/02/1970 - )  <strong>Production Date:</strong> 06/1973  <strong>Persistent URL:</strong>  <a href=""http://arcweb.archives.gov/arc/action/ExternalIdSearch?id=551738"" rel=""nofollow"">arcweb.archives.gov/arc/action/ExternalIdSearch?id=551738</a>  <strong>Repository: </strong> Still Picture Records Section, National Archives at College Park (College Park, MD)  For information about ordering reproductions of photographs held by the Still Picture Unit, visit: <a href=""http://www.archives.gov/research/order/still-pictures.html"" rel=""nofollow"">www.archives.gov/research/order/still-pictures.html</a>  Reproductions may be ordered via an independent vendor. NARA maintains a list of vendors at <a href=""http://www.archives.gov/research/order/vendors-photos-maps-dc.html"" rel=""nofollow"">www.archives.gov/research/order/vendors-photos-maps-dc.html</a>       Access Restrictions: Unrestricted Use Restrictions: Unrestricted",7,The U.S. National Archives,40.782442,-73.974326,http://farm5.staticflickr.com/4091/5008809888_3752dbf6b7.jpg,http://www.flickr.com/photos/35740357@N03/5008809888,park//newyorkcity//garden//centralpark//manhattan//museumofnaturalhistory//centralparkwest//usnationalarchives//historyhappenshere//nara:arcid=551738
5008203679,"Subway train on the Brooklyn Bridge in Manhattan, New York...05/1974.",1974-05-01 00:00:00,1284998222,"<strong>Original Caption:</strong> Subway train on the Brooklyn Bridge in Manhattan, New York.  The problem of how to move people and goods is ultimately bound up with the quality of life everywhere.  The lands adjacent to the Bight, rivers flowing into it, and bays and estuaries edging it have direct upon the environment of the coastal water.  The New York, New Jersey metropolitan region is one of the most congested in the world, 05/1974.  <strong>U.S. National Archives’ Local Identifier:</strong> 412-DA-13299  <strong>Photographer:</strong> Alexander, Hope  <strong>Subjects:</strong> Manhattan (New York City, New York state, United States, North and Central America) borough Environmental Protection Agency Project DOCUMERICA  <strong>From:</strong>: Series DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern, compiled 1972 - 1977  <strong>Created By:</strong>: Environmental Protection Agency. (12/02/1970 - )  <strong>Production Date:</strong> 05/1974  <strong>Persistent URL:</strong>  <a href=""http://arcweb.archives.gov/arc/action/ExternalIdSearch?id=555751"" rel=""nofollow"">arcweb.archives.gov/arc/action/ExternalIdSearch?id=555751</a>  <strong>Repository: </strong> Still Picture Records Section, National Archives at College Park (College Park, MD)  For information about ordering reproductions of photographs held by the Still Picture Unit, visit: <a href=""http://www.archives.gov/research/order/still-pictures.html"" rel=""nofollow"">www.archives.gov/research/order/still-pictures.html</a>  Reproductions may be ordered via an independent vendor. NARA maintains a list of vendors at <a href=""http://www.archives.gov/research/order/vendors-photos-maps-dc.html"" rel=""nofollow"">www.archives.gov/research/order/vendors-photos-maps-dc.html</a>       Access Restrictions: Unrestricted Use Restrictions: Unrestricted",7,The U.S. National Archives,40.707807,-73.999314,http://farm5.staticflickr.com/4084/5008203679_bdcdc8c6c4.jpg,http://www.flickr.com/photos/35740357@N03/5008203679,newyorkcity//urban//brooklyn//train//subway//transit//manhattanbridge//suspensionbridge//railfan//leonmoisseiff//moisseiff//alexanderhope//usnationalarchives//historyhappenshere//nara:arcid=555751
3903193533,"Yacht Club Cove on Staten Island: an ""Environmental"" Community of Cluster Housing Around a Central Open Space Designed to Preserve Land Values 05/1973",1973-01-01 00:00:00,1252504098,"<strong>Original Caption:</strong> Yacht Club Cove on Staten Island: an &quot;Environmental&quot; Community of Cluster Housing Around a Central Open Space Designed to Preserve Land Values 05/1973  <strong>U.S. National Archives’ Local Identifier:</strong>  412-DA-5458  <strong>Photographer:</strong>  Tress, Arthur, 1940-  <strong>Subjects:</strong> New York (New York state, United States) inhabited place Environmental Protection Agency Project DOCUMERICA  <strong>Persistent URL:</strong>  <a href=""http://arcweb.archives.gov/arc/action/ExternalIdSearch?id=547945"" rel=""nofollow"">arcweb.archives.gov/arc/action/ExternalIdSearch?id=547945</a>  <strong>Repository: </strong> Still Picture Records Section, Special Media Archives Services Division (NWCS-S), National Archives at College Park, 8601 Adelphi Road, College Park, MD, 20740-6001.   For information about ordering reproductions of photographs held by the Still Picture Unit, visit: <a href=""http://www.archives.gov/research/order/still-pictures.html"" rel=""nofollow"">www.archives.gov/research/order/still-pictures.html</a>  Reproductions may be ordered via an independent vendor. NARA maintains a list of vendors at <a href=""http://www.archives.gov/research/order/vendors-photos-maps-dc.html"" rel=""nofollow"">www.archives.gov/research/order/vendors-photos-maps-dc.html</a>      Access Restrictions: Unrestricted Use Restrictions: Unrestricted ",7,The U.S. National Archives,40.555547,-74.115829,http://farm4.staticflickr.com/3022/3903193533_4e75b50269.jpg,http://www.flickr.com/photos/35740357@N03/3903193533,newyorkcity//newyork//statenisland//environmentalprotectionagency//documerica//usnationalarchives//yachtclubcove//nara:arcid=547945
3678964534,New York City. Plan for Entrance to Central Park,1865-01-01 00:00:00,1246464818,"<b>Collection</b>: A. D. White Architectural Photographs, Cornell University Library Accession Number: 15/5/3090.01556  <b>Title</b>: New York City. Plan for Entrance to Central Park  Designer: Richard Morris Hunt (American, 1827-1895)   Design date: ca. 1863 Photograph date: ca. 1865-ca. 1885   <b>Location</b>: North and Central America: United States; New York, New York  <b>Materials</b>: albumen print  Image: 18.1102 x 20.2756 in.; 46 x 51.5 cm  <b>Style</b>: Beaux-Arts  <b>Provenance</b>: Transfer from the College of Architecture, Art and Planning  <b>Persistent URI</b>: <a href=""http://hdl.handle.net/1813.001/5ts7"" rel=""nofollow"">http://hdl.handle.net/1813.001/5ts7</a>  There are no known U.S. copyright restrictions on this image.  The digital file is owned by the Cornell University Library which is making it freely available with the request that, when possible, the Library be credited as its source.    We had some help with the geocoding from <a href=""http://developer.yahoo.com/"" rel=""nofollow"">Web Services by Yahoo!</a>  ",7,Cornell University Library,40.71455,-74.007124,http://farm4.staticflickr.com/3550/3678964534_d35dbab702.jpg,http://www.flickr.com/photos/30515687@N05/3678964534,city//nyc//newyorkcity//newyork//centralpark//manhattan//columns//churches//statues//planning//plazas//fountains//fifthavenue//urbanplanning//religiousbuildings//59thstreet//urbanparks//churchtowers//architecturaldrawings//cornelluniversitylibrary//59thand5th//centralparkmanhattannewyork//squaresopenspaces//hotelspublicaccommodations//topographicalviews//culidentifier:lunafield=accessionnumber//culidentifier:value=155309001556
